Identifiant de document;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain
;;;;;;;1;05/01/2022;Vente;118000;329;;RUE;25;DES CARPIERES;1170;SEGNY;1;399;;AA;337;;7;24;70;;;;;;;;;1;2;Appartement;;25;1;;
;;;;;;;1;06/01/2022;Vente;265000;631;;RUE;843;ROYALE;1800;VILLIEU-LOYES-MOLLON;1;450;223;B;87;;;;;;;;;;;;0;1;Maison;;126;3;S;;325
;;;;;;;1;06/01/2022;Vente;265000;631;;RUE;843;ROYALE;1800;VILLIEU-LOYES-MOLLON;1;450;223;B;87;;;;;;;;;;;;0;3;Dépendance;;0;0;S;;325
;;;;;;;1;11/01/2022;Vente;500000;9002;;RUE;44;DE LA PRAIRIE;1100;GROISSIAT;1;181;;C;1024;;;;;;;;;;;;0;4;Local industriel. commercial ou assimilé;;;;S;;2016
;;;;;;;1;12/01/2022;Vente;41000;59;;RUE;300;DOCTEUR MERCIER;1130;NANTUA;1;269;;AB;403;;12;;21;37;12;;;;;;;2;3;Dépendance;;0;0;;
;;;;;;;1;12/01/2022;Vente;41000;59;;RUE;300;DOCTEUR MERCIER;1130;NANTUA;1;269;;AB;403;;12;;21;37;12;;;;;;;2;2;Appartement;;41;2;;
;;;;;;;1;03/01/2022;Vente;172000;49;;RUE;100;DE L'EGLISE;1140;SAINT-DIDIER-SUR-CHALARONNE;1;348;;AP;35;;;;;;;;;;;;0;1;Maison;;120;4;S;;157
;;;;;;;1;10/01/2022;Vente;;;;;B002;CAZAN;1090;GENOUILLEUX;1;169;;A;410;;;;;;;;;;;;;;;;;S;;1055;
;;;;;;;1;10/01/2022;Vente;;;;;B002;CAZAN;1090;GENOUILLEUX;1;169;;A;411;;;;;;;;;;;;;;;;;S;;179;
;;;;;;;1;10/01/2022;Vente;;;;;B002;CAZAN;1090;GENOUILLEUX;1;169;;A;412;;;;;;;;;;;;;;;;;S;;113;
